Geneid,L3,L3,L3,APF0h,APF0h,APF0h
Myo81F,0,0,0,0,6,1
CR41571,0,0,0,0,0,0
CR12798,0,0,0,0,0,0
lncRNA:CR46123,0,0,0,0,0,0
lncRNA:CR46122,0,0,0,0,0,0
CR40182,0,0,0,0,0,0
Pzl,0,0,0,0,0,0
lncRNA:CR45220,0,0,0,0,0,0
spok,0,0,0,0,0,0
Parp,1214,1769,1811,984,686,644
Alg-2,1311,1433,3526,1053,1536,842
lncRNA:CR46141,0,0,0,0,0,0
Tim17b,6980,9897,9434,4507,4526,3030
CG41128,2061,4572,3697,1142,1598,811
CG41099,966,6,418,345,681,487
CG42402,0,0,0,0,0,0
Gfat1,2015,5715,3559,2783,2734,1906
lncRNA:CR41601,0,0,0,0,0,0
CG40198,0,0,0,0,0,0
lncRNA:CR46431,0,0,0,0,0,0
CG12581,558,1,21,195,525,163
CR33294,0,0,0,0,0,0
Dsk,0,0,0,0,0,0
beta-Man,1025,3,2,97,922,344
CG14636,0,0,0,0,17,16
aux,237,6,108,141,242,443
CG31516,0,0,0,0,0,0
DhpD,559,758,2,58,247,115
CG14641,1129,142,535,691,990,674
abs,684,2,831,259,453,245
Gel,25,197,1347,276,324,4
asRNA:CR46255,0,0,0,0,6,2
CG14642,0,0,0,0,27,0
CG34305,0,29,59,0,6,0
TwdlU,0,0,0,0,0,0
TwdlF,0,0,0,0,0,0
TwdlG,0,0,0,0,0,0
CG14644,0,0,0,0,0,0
TwdlV,0,0,0,0,0,0
Or82a,0,0,0,0,0,0
CG1092,0,578,0,0,86,1
CG9766,0,0,89,0,0,0
lncRNA:CR45597,0,0,0,0,0,0
cpx,0,0,1,0,0,0
Nepl11,0,0,0,0,0,0
mir-929,0,0,0,0,0,0
Vps24,109,23,65,89,59,21
MP1,0,0,0,0,0,0
asRNA:CR46140,0,0,0,0,0,0
Suv3,430,2,1,374,340,164
Syt14,0,0,0,0,0,0
CG9795,213,134,21,102,420,129
CG9776,187,104,0,262,257,52
Skp2,532,179,1001,675,316,158
CG14645,0,0,0,0,0,0
CG1103,212,1264,2,736,528,183
hkb,0,0,0,0,0,0
CG1090,0,0,0,0,0,0
lncRNA:CR44922,1,0,0,0,0,0
Sfxn1-3,724,584,1300,145,464,227
Cont,55,3,0,733,1866,1170
tub,841,740,0,369,676,306
CG14646,757,1,3023,634,536,490
CG34112,0,0,0,57,20,20
asRNA:CR46139,89,0,0,0,17,0
asRNA:CR45999,0,142,0,15,35,11
CG9855,5,15,0,12,21,21
CG9853,345,282,2,429,755,329
CG14647,1116,534,587,623,585,333
lncRNA:CR45187,0,136,0,0,0,0
lost,10798,10336,14240,6419,9466,5250
CG32944,0,0,0,0,0,0
CG31528,0,0,0,0,0,0
srl,196,675,1,50,200,91
CG31525,28,0,0,0,0,0
eIF3a,405,440,810,655,685,330
CG1074,48,38,71,14,22,16
asRNA:CR46138,0,0,0,0,0,0
CG9804,5,16,6,1,7,2
asRNA:CR44134,0,0,0,0,0,0
CG14650,317,0,0,147,204,166
CG31522,430,0,0,171,350,112
asRNA:CR43629,78,344,0,16,21,17
CG31523,834,2532,312,2055,2679,1568
CG14651,0,0,0,0,0,0
Fip1,231,0,0,96,403,129
CG34357,0,0,0,3,25,0
CG34425,0,0,0,0,0,0
lncRNA:CR31526,0,0,0,0,0,0
Mur82C,0,0,0,0,0,0
CG32945,0,0,0,0,0,0
lncRNA:CR45558,0,0,0,0,0,0
lncRNA:CR44317,0,0,0,0,0,0
