FLYBASEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
FBgn0001235,982.7725119,-1.513914104,0.484385396,-3.125433005,0.001775435,0.009087999,hth
FBgn0262127,291.9995762,-1.427173689,0.476160499,-2.997253433,0.002724241,0.013079393,kibra
FBgn0039044,22.20704968,8.255291392,2.190275779,3.769064823,0.00016386,0.001145883,p53
FBgn0053193,76.05793643,9.066854532,1.482446151,6.116144271,9.59E-10,2.82E-08,sav
FBgn0039055,116.2167801,8.742585514,1.816839358,4.811974969,1.49E-06,1.82E-05,Rassf
FBgn0000064,3633.416302,-2.594714083,0.517588304,-5.013084843,5.36E-07,7.48E-06,Ald1
FBgn0014869,2288.06405,-2.581240762,0.630105546,-4.096521256,4.19E-05,0.000355993,Pglym78
FBgn0086355,9082.869125,-2.150314539,0.536629453,-4.007075133,6.15E-05,0.000489451,Tpi
FBgn0067864,44.33280611,7.365927575,1.415540413,5.203615174,1.95E-07,3.03E-06,Patj
FBgn0001258,238.7231617,7.841640943,0.971783093,8.06933255,7.07E-16,1.12E-13,Ldh
FBgn0263930,229.4948384,4.84900426,0.865835964,5.60037289,2.14E-08,4.36E-07,dally
FBgn0026061,2203.348699,-3.16571357,0.630398272,-5.021767528,5.12E-07,7.20E-06,Mipp1
FBgn0012034,39.05303981,9.069134447,2.439850692,3.717085836,0.000201534,0.001377415,AcCoAS
FBgn0000043,45809.32389,1.317761702,0.328998387,4.00537436,6.19E-05,0.000492336,Act42A
FBgn0001091,2686.924272,-2.193353913,0.557434915,-3.934726465,8.33E-05,0.000638709,Gapdh1
FBgn0000044,164.0923217,-4.73823797,1.560187461,-3.036967088,0.002389715,0.01164938,Act57B
FBgn0026192,413.5898241,8.531693127,1.050383878,8.122452473,4.57E-16,7.66E-14,par-6
FBgn0053542,54.04061062,8.571093893,1.592603122,5.38181407,7.37E-08,1.29E-06,upd3
FBgn0086384,34.83914272,6.487385595,1.672153094,3.879660074,0.000104603,0.000780317,Mer
FBgn0000579,3942.738252,-0.946326688,0.380071282,-2.48986633,0.012779115,0.04826155,Eno
FBgn0250906,2532.053847,-1.336175748,0.421474214,-3.170243171,0.001523114,0.007971325,Pgk
FBgn0000547,456.1434835,1.666121047,0.566923029,2.938884051,0.003293963,0.015338785,ed
FBgn0032230,1088.337834,2.208674609,0.454758714,4.856805472,1.19E-06,1.51E-05,lft
FBgn0010247,1018.248888,-0.781614779,0.517638333,-1.509963094,0.131052842,0.303959992,
FBgn0086378,1408.57335,-0.716241436,0.683989028,-1.047153398,0.295028835,0.535813491,
FBgn0263977,5419.76339,-0.886173951,0.404237585,-2.192210682,0.028364298,0.091880813,
FBgn0069923,1932.089739,-1.340179297,0.522636547,-2.564266324,0.010339417,0.040076034,
FBgn0039955,422.8436391,0.436768227,1.389552101,0.31432303,0.753275708,0.893509589,
FBgn0027341,2677.243186,-0.353833176,0.579224416,-0.610874069,0.541282953,0.768543844,
FBgn0037213,199.4537319,0.895857166,1.711122965,0.523549262,0.600592079,0.804625141,
FBgn0037215,326.4051503,0.732950476,1.948159553,0.376227129,0.706748048,0.8713431,
FBgn0037218,194.4968247,1.711524807,1.31719329,1.299372553,0.193816106,0.402643787,
FBgn0261436,226.4171212,-1.329118172,1.54049263,-0.862787752,0.388254175,0.634507388,
FBgn0037220,608.4735939,0.677960945,0.848216892,0.799277816,0.424129339,0.670935927,
FBgn0015331,357.5327409,-0.489883298,1.527613845,-0.320685296,0.748448891,0.891474793,
FBgn0010225,315.9424557,-1.511035469,1.661675145,-0.90934469,0.363168208,0.609997254,
FBgn0085334,13.40812465,-4.079697566,3.458095453,-1.179752734,0.238098573,0.465777922,
FBgn0037228,83.31686446,-2.751721728,3.653879125,-0.753095993,NA,NA,
FBgn0037231,51.04907733,-0.029271023,0.994899838,-0.029421075,0.976528765,0.988485591,
FBgn0037232,185.7135372,1.379436151,1.866823101,0.738921728,NA,NA,
FBgn0037234,140.7471897,1.071182432,1.019282993,1.050917595,0.293296438,0.534236211,
FBgn0027866,117.6494223,1.221893045,1.73647966,0.703661018,0.481643902,0.721808033,
FBgn0037236,414.0720165,-0.448524042,0.94380531,-0.475229412,0.634623466,0.824383967,
FBgn0037235,399.9464787,0.228150281,1.587619744,0.143705873,0.885732734,0.954773381,
FBgn0037239,487.3946781,-1.474898963,0.72515932,-2.033896444,0.041962038,0.125491029,
FBgn0037240,604.9668842,6.429028225,1.577673942,4.075004382,4.60E-05,0.000382495,
FBgn0003882,398.9903058,0.094911593,1.787343328,0.053102049,0.957650599,0.983061977,
FBgn0037241,822.4422823,-1.037078667,1.724160189,-0.601497862,0.547508436,0.772915417,
FBgn0086608,15.44074384,7.730549051,2.461555294,3.140514076,0.001686516,0.008684406,
FBgn0267661,26.80435135,-0.988872709,2.775231532,-0.356320796,NA,NA,
FBgn0037242,11.50743505,1.857022568,1.856985885,1.000019754,0.317300948,0.560597729,
FBgn0086605,306.5909943,1.582170103,1.378112243,1.148070566,0.250939434,0.483222554,
FBgn0037244,528.6705625,-0.277176428,0.485366506,-0.571066245,0.567954738,0.783990587,
FBgn0263594,8049.267126,-0.534617094,0.421501199,-1.268364349,0.204667867,0.420212472,
FBgn0037248,160.3859582,-1.052148938,1.629834854,-0.645555552,0.518567231,0.748696947,
FBgn0037249,482.8305719,0.16823251,0.602471256,0.279237404,0.78006264,0.904626832,
FBgn0037250,29.69351912,-1.359404994,0.877465743,-1.549239963,0.121324046,0.287246221,
FBgn0037251,4.973038554,-1.266496619,1.666735084,-0.759866779,0.447334221,0.691866229,
FBgn0037252,121.5690631,1.152714685,2.532555862,0.455158641,NA,NA,
FBgn0051522,144.5348607,0.868338684,2.559418897,0.339271811,NA,NA,
FBgn0263620,61.20394894,-2.586679128,1.918459212,-1.348310723,0.177558465,0.377843912,
FBgn0051523,1449.162572,1.082407966,0.828834472,1.30593985,0.191573014,0.399401243,
FBgn0037255,119.8683477,1.749082344,2.50460733,0.698345934,0.48496088,0.723902772,
FBgn0037261,216.9579858,0.184904124,1.824966398,0.101319194,0.91929708,0.968158063,
FBgn0037262,178.492142,0.579928977,1.7327971,0.334677947,0.737868039,0.887512931,
FBgn0037263,203.668254,-5.578874658,2.206353142,-2.52855019,NA,NA,
FBgn0040466,173.447949,-0.788094016,1.511587964,-0.521368279,0.602110244,0.804992318,
FBgn0087013,450.9068347,1.073340959,0.568861609,1.886822634,0.059184186,0.165282999,
FBgn0037265,5.370348767,5.21433886,3.827989762,1.36216113,0.17314704,0.371291323,
FBgn0263346,169.8785303,-0.384739756,2.00203167,-0.19217466,0.847605394,0.938414704,
FBgn0037270,1591.536885,-0.670561621,0.392533081,-1.708293274,0.087581939,0.223775191,
FBgn0266228,11.36889976,7.289976981,3.028262859,2.407313143,0.016070384,0.058543626,
FBgn0027570,2657.821118,10.83271776,0.782660353,13.84089243,1.44E-43,4.36E-40,
FBgn0026620,591.2630544,0.752971584,0.718021552,1.048675464,0.294327511,0.535099729,
FBgn0010750,341.4706,0.269453249,1.776143259,0.151706934,0.879418088,0.951809211,
FBgn0264907,105.1989425,10.49937028,1.540438932,6.815830257,9.37E-12,4.67E-10,
FBgn0260794,145.536707,2.320590053,0.889665894,2.608383741,0.009097091,0.035929936,
FBgn0026417,291.306649,-0.942564209,1.606927584,-0.586562965,0.557497262,0.778278042,
FBgn0037279,308.2613607,0.385461301,1.766827934,0.218165727,0.827299988,0.92926238,
FBgn0037282,181.4583156,6.98228868,0.720198615,9.694948773,3.17E-22,1.24E-19,
FBgn0004913,65.45834394,0.915739973,1.80530928,0.50724825,0.611980644,0.812898244,
FBgn0265082,174.4164346,5.894748339,1.387759886,4.247671661,2.16E-05,0.000195527,
FBgn0004436,1301.186942,0.124028043,0.675253647,0.183676228,0.854267459,0.941816609,
FBgn0250839,9189.434634,9.967376233,0.628243341,15.86547056,1.10E-56,6.63E-53,
FBgn0037290,49.12140946,-0.092239735,2.67346438,-0.03450195,0.972476887,0.987531216,
FBgn0010313,139.2443422,-0.565109297,1.361659813,-0.415015036,NA,NA,
FBgn0037293,230.5128623,1.280624438,0.935385528,1.36908729,0.170971991,0.367848829,
FBgn0259212,196.4593488,-2.201252933,2.120891721,-1.037890295,NA,NA,
FBgn0037297,484.8922111,-0.957357874,0.761294476,-1.257539499,0.208558345,0.424871821,
FBgn0037298,1093.962966,-1.24333267,0.584155355,-2.128428096,0.033301606,0.104240244,
FBgn0037299,666.9026827,-0.425252553,0.672504412,-0.632341656,0.52716365,0.756043875,
FBgn0040208,58.48189122,2.087079828,1.83787781,1.135592267,0.256127247,0.489929615,
FBgn0037301,119.6047352,-2.43554944,1.861968235,-1.308051015,0.190856007,0.398279445,
FBgn0260462,1543.223269,0.5386907,0.53666474,1.003775094,0.315487032,0.559167177,
FBgn0037305,487.1813539,-1.9248923,0.508940896,-3.782152929,0.000155478,0.001094167,
FBgn0264785,62.70671327,-0.551824494,2.38404888,-0.23146526,0.816953371,0.926072528,
FBgn0013576,520.5325841,-0.122515632,0.611582392,-0.200325637,0.841225913,0.935642902,
FBgn0037312,1084.591979,0.177531656,0.596609324,0.297567685,0.766033141,0.89896699,
FBgn0037313,1360.225087,-0.174072887,0.521081827,-0.334060559,0.738333861,0.887512931,
FBgn0250746,1546.446689,0.744107811,0.750758867,0.99114089,0.321616789,0.56423178,
FBgn0037315,29.45637549,6.615173731,3.015081101,2.194028456,0.028233364,0.091557416,
FBgn0003275,6160.62283,-2.38112037,0.595209542,-4.000474121,6.32E-05,0.000501323,
FBgn0037317,112.2258517,-2.677469044,3.469650266,-0.771682688,NA,NA,
FBgn0001311,246.5033794,2.683316043,2.08798491,1.285122335,0.198749538,0.411194193,
FBgn0264712,165.3976391,1.152929645,2.204539919,0.522979709,NA,NA,
FBgn0037323,919.0642386,7.758591713,1.019851779,7.607567953,2.79E-14,2.81E-12,
FBgn0037327,45.03628073,-0.106952417,2.835421094,-0.037720118,0.969910836,0.986875824,
FBgn0037328,1349.208309,-0.580426427,0.346286697,-1.676144164,0.093709958,0.235533253,
FBgn0037329,263.339998,1.006274302,1.798828988,0.559405207,0.575885209,0.790058476,
FBgn0037330,344.9321587,-1.122726195,1.83646404,-0.611352126,0.540966489,0.768534078,
FBgn0011715,906.7484347,-1.609628149,0.667335669,-2.412021752,0.015864335,0.057954759,
FBgn0051550,71.23593651,8.972794368,1.703602551,5.266952882,1.39E-07,2.23E-06,
FBgn0010051,271.4721586,-4.107372432,2.417404261,-1.699083806,NA,NA,
FBgn0037336,250.158137,-0.355846408,1.818962933,-0.195631478,0.84489862,0.937080877,
FBgn0086768,1129.387207,-1.920124808,0.721879022,-2.659898333,0.007816424,0.031596552,
FBgn0037339,83.75138027,9.206250121,1.490156616,6.178041976,6.49E-10,2.04E-08,
FBgn0037340,586.3441226,-1.515545164,0.900687591,-1.682653541,0.092442181,0.233426175,
FBgn0037341,239.0734862,-0.299832235,2.020236612,-0.148414415,0.882015725,0.953082345,
FBgn0037342,143.5344078,-0.628458363,1.609997583,-0.390347395,0.696279681,0.864419176,
FBgn0041191,829.4476247,0.292886311,0.650991506,0.449908037,0.652776752,0.83684367,
FBgn0023023,132.8542652,2.526671243,2.088167215,1.20999469,0.22628093,0.449952361,
FBgn0037344,200.4564377,1.695741758,1.780739794,0.952268132,0.340961015,0.585405328,
FBgn0037345,34.60578032,-1.325491777,2.816906617,-0.470548711,NA,NA,
FBgn0014366,560.287012,-2.139958843,1.124628497,-1.902813994,0.057064821,0.160852962,
FBgn0283535,1840.276075,-0.048802375,0.675655681,-0.072229653,0.942419147,0.976962757,
FBgn0250753,9365.095563,0.269432567,0.498018364,0.541009301,0.588501172,0.799050607,
FBgn0037347,100.9524619,-0.293418355,1.769494371,-0.165820451,0.868298251,0.947248725,
FBgn0261004,76.89549441,9.083262294,1.702749191,5.33446872,9.58E-08,1.62E-06,
FBgn0017550,136.1235777,0.360633677,2.586940908,0.139405456,NA,NA,
FBgn0044823,175.7752403,6.031977079,1.520047803,3.968281172,7.24E-05,0.00056373,
FBgn0037350,114.9955286,10.62731962,1.607568816,6.610802292,3.82E-11,1.70E-09,
FBgn0037351,7494.102079,-1.306483475,0.454559262,-2.874176339,0.004050827,0.018243838,
FBgn0051549,982.413508,-1.048355377,0.645845608,-1.623229086,0.104540442,0.25552919,
FBgn0037354,355.9258005,-0.564368707,1.015278093,-0.555875983,0.578295638,0.791386434,
FBgn0051548,268.5993178,-1.533525223,1.434237561,-1.06922679,0.28496749,0.525697028,
FBgn0037356,134.3665277,-2.173807864,1.671091332,-1.300831273,0.193316215,0.402048011,
FBgn0027951,149.9462665,6.944498116,1.676706531,4.141749308,3.45E-05,0.00029886,
FBgn0262125,365.9351638,2.188196295,1.363572972,1.604751884,0.108548419,0.263088236,
FBgn0037358,548.9807429,-1.630392231,0.927051178,-1.758686326,0.078630801,0.206182776,
FBgn0037359,363.94668,-2.036154785,0.67932194,-2.997334054,0.002723521,0.013079393,
FBgn0037360,954.4835744,0.173495978,1.102218564,0.157406147,0.874924769,0.950312876,
FBgn0264902,13.51889198,-4.452185407,3.804507742,-1.170239545,NA,NA,
FBgn0046222,168.7757893,-0.318409025,1.838702408,-0.173170506,0.862517407,0.944360655,
FBgn0010772,418.842033,-2.678887544,2.060785996,-1.299934854,0.193623298,0.402520359,
FBgn0037363,27.66537214,6.046113431,1.707734079,3.540430273,0.000399475,0.002532387,
FBgn0037364,120.1117689,2.050778857,2.446181607,0.838359201,NA,NA,
FBgn0004878,7.715990812,6.730195619,3.194326192,2.10692184,0.035124355,0.108649658,
FBgn0037368,211.5994571,-0.171814304,1.788878038,-0.096045846,0.923484161,0.969594105,
FBgn0037369,112.1335305,0.984818548,1.960413833,0.502352376,0.615419672,0.815296527,
FBgn0037370,655.3324812,-0.830474374,0.784297613,-1.05887658,0.289655992,0.53036223,
FBgn0037371,96.35277965,-0.886437877,2.473841091,-0.358324502,0.720100484,0.879205001,
FBgn0027497,63.92564624,2.135484961,1.663954407,1.283379491,0.199359155,0.412031679,
FBgn0037372,151.8003358,2.619180359,2.051588115,1.27665994,0.20172233,0.415918778,
FBgn0266672,156.1269354,8.709602972,1.667494042,5.223168871,1.76E-07,2.76E-06,
FBgn0037374,843.9019912,0.507341874,1.594206988,0.318240904,0.750302207,0.892460387,
FBgn0037376,638.3163712,-1.31062746,0.665355428,-1.969815537,0.048859515,0.141355309,
FBgn0028690,2779.88842,0.809808508,0.787445329,1.028399659,0.303761869,0.545589743,
FBgn0037377,171.317674,-1.365445185,1.623755904,-0.840917765,0.400394006,0.645356607,
FBgn0037378,488.0901047,0.458381542,1.554256533,0.294920132,0.768054892,0.899958171,
FBgn0037379,78.80947244,0.657799392,2.587955964,0.254177197,0.799358667,0.916437985,
FBgn0263353,60.86342557,-0.16238208,2.678179701,-0.06063151,NA,NA,
FBgn0261561,352.9803267,2.814235041,1.78319894,1.578194658,0.114520897,0.274041877,
FBgn0037382,206.9599754,1.6246305,1.686156267,0.963511231,NA,NA,
FBgn0037383,94.7480073,1.406617814,2.165217896,0.649642614,0.5159231,0.746582716,
FBgn0037384,56.19929722,2.994472198,1.986786363,1.507193856,0.131760975,0.305250473,
FBgn0028436,242.9226585,-2.205052996,2.110847489,-1.044629234,0.296194363,0.537119284,
FBgn0037391,97.63210345,2.984812321,2.428223452,1.229216495,0.218990646,0.439218527,
FBgn0003261,3993.164046,-1.101346714,0.584668718,-1.88371069,0.05960412,0.166148204,
FBgn0026077,12241.9761,3.933360066,0.866428974,4.539737454,5.63E-06,6.03E-05,
FBgn0051559,31.11816487,8.741354446,1.951297826,4.479764354,7.47E-06,7.75E-05,
FBgn0037431,11.84907764,7.349631458,3.061483267,2.400676672,0.016364789,0.059280613,
FBgn0037433,50.89611027,-1.579869141,1.935108926,-0.816423882,0.414257742,0.659816699,
FBgn0261789,1684.840366,-1.016618437,0.506911496,-2.00551466,0.044908055,0.132290409,
FBgn0267698,181.5098683,10.32322296,1.383531778,7.461500429,8.55E-14,7.17E-12,
FBgn0261641,472.4397628,-1.937591607,1.785426241,-1.085226353,0.277821415,0.515892997,
FBgn0037439,899.1650514,-2.093748949,0.646437205,-3.238905393,0.001199894,0.006577074,
FBgn0037440,246.8121158,-1.000280046,1.613396596,-0.619983982,0.535268333,0.763313892,
FBgn0027514,13.29951315,7.515323518,2.542786556,2.955546347,0.003121158,0.014658512,
FBgn0010282,455.112301,-0.728951108,2.02260802,-0.360401571,NA,NA,
FBgn0037442,168.3606887,-0.480207615,2.317699234,-0.207191515,0.835860294,0.933746273,
FBgn0037443,255.9404363,-0.596933196,1.264692557,-0.471998663,0.636927743,0.825925855,
FBgn0264495,117.6888859,1.199005654,1.850627117,0.64789154,0.517055103,0.747586858,
FBgn0037446,182.4005735,-0.516225852,1.575819673,-0.327591958,0.743220203,0.889417792,
FBgn0010355,103.0135945,-1.633226739,1.887565488,-0.865255669,0.386898477,0.633243458,
FBgn0026566,789.6225336,-0.424682612,0.812786203,-0.522502241,0.601320686,0.80486538,
FBgn0262801,1924.602567,1.312088346,0.409043955,3.207695235,0.001338032,0.007190582,
