gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
AMPdeam,483.8677513,6.708927866,0.588749905,11.39520841,4.42E-30,2.66E-26,AMPdeam
Ubqn,831.9842789,9.383632396,0.850255028,11.03625629,2.55E-28,7.68E-25,Ubqn
Sra-1,610.822856,8.735343787,0.821670752,10.63119718,2.13E-26,4.28E-23,
mmy,440.8707594,7.455785566,0.721854041,10.32866083,5.23E-25,7.86E-22,mmy
Rop,560.6022499,9.063512589,0.929583404,9.750080033,1.84E-22,2.22E-19,
tgo,367.0530576,7.801909055,0.850430923,9.174065581,4.56E-20,4.56E-17,
wbl,364.1977553,8.756680318,0.995172749,8.799156056,1.38E-18,1.18E-15,
RpII140,337.0551096,8.336203005,0.975216226,8.548056097,1.25E-17,9.41E-15,
CG14657,257.9453179,6.829721966,0.811124439,8.420066811,3.76E-17,2.38E-14,
Top3beta,600.3407677,11.38967197,1.353619059,8.414237295,3.95E-17,2.38E-14,
eIF3c,697.8076566,7.952083482,0.9530078,8.344195587,7.17E-17,3.92E-14,
Gcn5,340.4373683,9.115148393,1.104415807,8.253366474,1.54E-16,7.72E-14,
CG8366,259.5476407,7.952839354,0.969814393,8.200372576,2.40E-16,1.11E-13,
CG14722,398.1944891,11.75948594,1.440019511,8.166199034,3.18E-16,1.37E-13,
Sac1,390.7081546,9.893877356,1.214371784,8.147321509,3.72E-16,1.47E-13,
homer,285.4231739,8.402131206,1.032002901,8.141577122,3.90E-16,1.47E-13,
ifc,331.9383376,11.49696479,1.423052945,8.079084356,6.53E-16,2.31E-13,
CG16953,337.647445,11.52163857,1.436652916,8.01977878,1.06E-15,3.36E-13,
Ddx1,332.1781133,11.49795311,1.433744151,8.019529216,1.06E-15,3.36E-13,
Mcm3,397.0294586,11.7554182,1.521020868,7.728637027,1.09E-14,3.27E-12,
Ufl1,295.1350044,9.490081622,1.233804067,7.691725025,1.45E-14,4.16E-12,
GCS1,356.7046266,10.63806609,1.401278924,7.591683506,3.16E-14,8.63E-12,
CG6659,265.0041356,11.17199465,1.478175306,7.557963258,4.09E-14,1.07E-11,
Start1,316.7664179,10.4664906,1.388253976,7.539319732,4.72E-14,1.18E-11,
CG9300,332.6581793,11.50023224,1.536139711,7.486449415,7.08E-14,1.64E-11,
emb,512.9054679,8.169177938,1.090877524,7.488629801,6.96E-14,1.64E-11,
Nup50,347.8575457,8.080017525,1.088470351,7.423277554,1.14E-13,2.54E-11,
CG31064,158.4733704,7.57306693,1.02173288,7.411983187,1.24E-13,2.67E-11,
FucT6,382.8098751,11.70271853,1.58049756,7.404452137,1.32E-13,2.73E-11,
Best2,262.7385292,11.15981885,1.51339918,7.374008788,1.66E-13,3.12E-11,
AP-1-2beta,460.7847683,11.007593,1.492797396,7.373802384,1.66E-13,3.12E-11,
Nbr,274.2984735,9.351860762,1.267936601,7.37565329,1.64E-13,3.12E-11,
CG5776,240.5400563,11.03241266,1.509582654,7.308253464,2.71E-13,4.93E-11,
CG31935,247.7969344,7.851914407,1.07624607,7.295649784,2.97E-13,5.14E-11,
CG3651,221.6675544,10.91447639,1.496187292,7.294859704,2.99E-13,5.14E-11,
Xpd,286.8404242,10.32358172,1.421297311,7.263492055,3.77E-13,6.30E-11,
Nup133,347.0224293,10.59827922,1.460290682,7.257650376,3.94E-13,6.40E-11,
lds,230.2365286,10.96908875,1.512827938,7.250717993,4.15E-13,6.56E-11,
NO66,742.9824264,9.51888087,1.315588495,7.235454633,4.64E-13,7.15E-11,
S2P,325.6648973,10.50662747,1.454491572,7.223573978,5.06E-13,7.61E-11,
CG3529,277.1801277,11.23704808,1.560027199,7.203110356,5.89E-13,8.63E-11,
Pex16,225.3856861,10.93831749,1.528738942,7.155124525,8.36E-13,1.20E-10,
Usp5,243.043895,11.04712227,1.554426482,7.106879864,1.19E-12,1.66E-10,
CAH9,189.4856553,7.514153707,1.059075449,7.095012648,1.29E-12,1.77E-10,
CG2938,253.3165119,11.10678889,1.573272951,7.059670657,1.67E-12,2.23E-10,
CG10984,281.7468467,9.394949171,1.332843139,7.048803338,1.80E-12,2.36E-10,
SCCRO3,246.4556491,10.10429064,1.438258942,7.025362642,2.14E-12,2.73E-10,
Qsox1,397.4351615,7.796097871,1.110387615,7.021059822,2.20E-12,2.76E-10,
GLS,427.5307608,7.610214748,1.087152898,7.00013288,2.56E-12,3.08E-10,
MAN1,228.8197407,9.996975149,1.428072749,7.000326246,2.55E-12,3.08E-10,
Ttc7,225.8945051,9.978344631,1.433468613,6.960978803,3.38E-12,3.98E-10,
p115,249.6873911,10.12300771,1.460909204,6.929251785,4.23E-12,4.89E-10,
Orct2,196.1050391,8.873365282,1.281934231,6.921856885,4.46E-12,5.06E-10,
Kap-alpha1,259.547999,11.14197917,1.611501677,6.914035105,4.71E-12,5.25E-10,
CG4293,270.3516777,10.23821594,1.482316374,6.906903358,4.95E-12,5.42E-10,
Zpr1,205.4184377,9.841114879,1.43538794,6.856066297,7.08E-12,7.60E-10,
CG4679,207.9876189,8.949533738,1.308421207,6.839948552,7.92E-12,8.36E-10,
bib,194.8135811,10.72830765,1.569492626,6.835525995,8.17E-12,8.47E-10,
CG12945,173.4234787,7.710479834,1.129958402,6.82368468,8.87E-12,9.04E-10,
CG5645,203.6799476,8.314223404,1.220209221,6.813768706,9.51E-12,9.53E-10,
CG31344,197.454065,10.74770801,1.583378216,6.787833697,1.14E-11,1.12E-09,
SCAR,194.599107,9.763361867,1.44075166,6.776575128,1.23E-11,1.19E-09,
Usp16-45,236.59205,10.0450511,1.483670655,6.770404914,1.28E-11,1.23E-09,
CG2701,177.6276074,10.59484074,1.56946234,6.750618007,1.47E-11,1.38E-09,
Sec8,276.4426819,8.842940124,1.311233334,6.743986667,1.54E-11,1.43E-09,
SCOT,261.3248594,10.18914735,1.513249019,6.73329189,1.66E-11,1.51E-09,
isoQC,132.2783377,7.316839399,1.087673877,6.727052616,1.73E-11,1.54E-09,
CG1968,199.6081669,10.76319843,1.600266296,6.725879597,1.75E-11,1.54E-09,
CG34347,157.547314,7.975931292,1.187966831,6.71393433,1.89E-11,1.63E-09,
CG6230,192.5460431,10.71133576,1.595063654,6.715303014,1.88E-11,1.63E-09,
CG6418,192.0029856,10.70698276,1.599680522,6.693200679,2.18E-11,1.85E-09,
CG17593,163.3425939,8.027685581,1.199967665,6.689918247,2.23E-11,1.86E-09,
CG3842,198.0424135,9.788502383,1.465063089,6.681283867,2.37E-11,1.95E-09,
CG6753,247.6840223,8.155135828,1.221187421,6.678037858,2.42E-11,1.97E-09,
Cpr,216.6674845,9.050877975,1.361438825,6.648023994,2.97E-11,2.38E-09,
Ctl2,278.7048951,10.28224846,1.55058737,6.631195802,3.33E-11,2.63E-09,
Usp2,171.7794939,7.324281531,1.11028498,6.596758186,4.20E-11,3.28E-09,
CG7985,175.6813543,10.5791913,1.60584342,6.587934522,4.46E-11,3.44E-09,
Nup93-2,166.9371397,10.50549732,1.596717961,6.579432046,4.72E-11,3.59E-09,
CycY,224.4039657,9.96856925,1.516669443,6.57267099,4.94E-11,3.71E-09,
CG16989,180.4403014,9.654177227,1.473313247,6.552698314,5.65E-11,4.19E-09,
Rassf,230.2693427,9.091900139,1.388954646,6.545858187,5.92E-11,4.34E-09,Rassf
Rev1,219.7459988,8.984928969,1.373254768,6.542798305,6.04E-11,4.37E-09,
CG31028,232.894311,10.9857185,1.68482692,6.520384003,7.01E-11,5.02E-09,
Glut1,179.8995307,10.6134397,1.637808743,6.480268068,9.16E-11,6.48E-09,Glut1
Rhau,162.8254686,9.505957243,1.469444742,6.469081125,9.86E-11,6.89E-09,
CG4766,200.410213,10.76895038,1.673471582,6.435096058,1.23E-10,8.53E-09,
Lap1,162.1509032,8.596268656,1.337930711,6.425047714,1.32E-10,9.01E-09,
drongo,206.1655545,7.988428771,1.245939963,6.411567981,1.44E-10,9.73E-09,
RNaseX25,170.2825543,10.53415479,1.645928951,6.400127285,1.55E-10,1.04E-08,
whd,311.6187332,9.475358439,1.481486285,6.395846207,1.60E-10,1.05E-08,whd
Patj,213.307692,8.980660436,1.406697783,6.384214539,1.72E-10,1.13E-08,Patj
