,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
Parp,1234.02745,-1.347122725,0.543859494,-2.4769683,0.013250367,0.078991539,
Alg-2,2051.784038,-0.510876456,0.672596319,-0.759558804,0.447518352,0.784525163,
Tim17b,7779.319364,-0.719687057,0.371255584,-1.938521837,0.052559589,0.219889869,
CG41128,2759.609645,-1.150754736,0.511752249,-2.248655941,0.024534394,0.127617336,
CG41099,796.4312122,1.126609522,1.325423645,0.849999565,0.395325328,0.745021571,
Gfat1,3869.777626,-0.18849779,0.546080276,-0.345183296,0.729956576,0.933602614,
CG12581,267.80489,0.800215153,1.781433028,0.449197439,0.653289235,0.899922513,
beta-Man,612.8141739,1.358521864,1.810785067,0.750239158,0.453110679,0.791026008,
aux,179.0036956,0.870005134,1.588345059,0.547743155,0.583868276,0.864918761,
DhpD,429.3782265,-0.112955277,1.502810017,-0.075162713,0.940085251,0.98869585,
CG14641,799.6863701,0.544899366,0.85375325,0.638239873,0.523317545,0.837935312,
abs,328.6444627,-2.882676872,2.146306279,-1.343087378,0.179243682,0.49384731,
Gel,435.8538147,-1.489592252,1.789720887,-0.832304223,0.405237248,0.754031194,
CG34305,21.66204902,-2.018705112,3.492905133,-0.577944443,0.563301629,0.8557236,
Vps24,58.71839146,-0.643369124,1.280879139,-0.502287144,0.615465551,0.8840925,
Suv3,278.7966538,1.51411936,1.893122237,0.799800103,NA,NA,
CG9795,248.8107258,1.564696198,1.173270121,1.333619743,0.182328509,0.498321215,
CG9776,320.5473081,2.471488893,1.660380275,1.488507742,0.136617042,0.412659287,
Skp2,622.0788597,-0.176555456,1.035403217,-0.170518551,0.864602346,0.971912267,
CG1103,533.3877063,0.163605402,1.580289063,0.103528782,0.917543307,0.983552725,
Sfxn1-3,584.9174348,-2.445262646,0.690897353,-3.539256062,0.000401256,0.004303988,
Cont,1322.506057,7.077781119,1.435437515,4.930748323,8.19E-07,2.20E-05,
tub,515.302384,-0.100585703,1.75906729,-0.057181271,0.954400798,0.990468523,
CG14646,933.5788889,-2.160539716,1.704340361,-1.267669161,0.204916122,0.53141714,
asRNA:CR46139,27.23327869,-0.261179528,3.731033921,-0.070001917,NA,NA,
CG9855,26.80131677,2.780711106,2.226245514,1.249058601,0.211643641,0.539065807,
CG9853,381.3690597,1.374797721,1.430400838,0.961127598,0.336488015,0.690899752,
CG14647,779.7437205,-0.081826285,0.640267206,-0.127800213,0.898307081,0.982190729,
lost,13038.63808,-0.019726067,0.375223481,-0.052571516,0.958073312,0.99094755,
srl,352.4401177,0.463467647,1.592637257,0.291006408,0.771046419,0.94646817,
eIF3a,728.0029285,0.405658536,0.728364239,0.556944609,0.577565275,0.861666083,
CG1074,47.07457185,-0.740142526,2.262974137,-0.327066277,0.743617757,0.93537025,
CG9804,7.382985129,-0.919588572,2.279385433,-0.403437066,0.686626723,0.914713278,
CG14650,342.2322095,2.451691083,2.421696215,1.012385892,0.311353581,0.663814418,
CG31522,275.3805335,1.505183705,2.513669688,0.598799322,0.549306715,0.84857421,
asRNA:CR43629,107.6751783,-0.997466489,2.054680475,-0.485460636,0.627349629,0.89043277,
CG31523,1591.201577,0.582588024,0.796971752,0.7310021,0.46477787,0.799055877,
Fip1,280.7916698,2.651832561,2.44041008,1.086633998,0.277198594,0.631050865,
CG9775,368.992209,0.728588918,1.830569544,0.398012149,0.69062123,0.916566176,
MED31,372.051369,1.466496304,1.691652231,0.866901764,0.385995837,0.736889746,
slx1,319.2347753,-2.611399012,1.894922115,-1.378103612,0.1681713,0.473257954,
Dlip2,313.9612984,0.121009109,1.519754336,0.079624125,0.936536207,0.987068892,
Karybeta3,909.030614,1.825829703,0.507481435,3.597825606,0.000320889,0.003505917,
smash,214.6467889,-0.64706204,2.05430869,-0.314977999,NA,NA,
eIF3f1,2260.557098,-0.559057373,0.495462356,-1.128354892,0.25917007,0.607416934,
Nep2,73.5609819,5.145352386,1.786419701,2.88025954,0.003973479,0.029982171,
tacc,554.6895286,-0.267645136,0.803747587,-0.332996503,0.739136923,0.933655325,
