pathway,Count,PValue,GeneRatio
Metabolic pathways,153,0.177694884,0.350917431
Hippo signaling pathway,14,0.119080888,0.032110092
N-Glycan biosynthesis,10,0.105100401,0.02293578
Nucleotide excision repair,10,0.154463315,0.02293578
DNA replication,9,0.180502678,0.020642202
Pentose phosphate pathway,8,0.047840216,0.018348624
Fanconi anemia pathway,8,0.105346268,0.018348624
"Alanine, aspartate and glutamate metabolism",8,0.165196016,0.018348624
RNA polymerase,8,0.165196016,0.018348624
Homologous recombination,7,0.083990045,0.016055046
Biosynthesis of unsaturated fatty acids,6,0.144466454,0.013761468
Other types of O-glycan biosynthesis,5,0.108777889,0.01146789
Glycosaminoglycan biosynthesis - heparin,5,0.108777889,0.01146789
