"seqnames","start","end","V6","geneId","annotation"
"chr2L",152,5061,42.3598,"FBgn0031208","Distal Intergenic"
"chr2L",8774,9188,2.73269,"FBgn0031208","3' UTR"
"chr2L",12474,12869,6.83898,"FBgn0031208","Exon (FBtr0078170/FBgn0002121, exon 6 of 9)"
"chr2L",13806,14417,2.0678,"FBgn0002121","Exon (FBtr0078170/FBgn0002121, exon 4 of 9)"
"chr2L",15129,15600,2.85965,"FBgn0002121","Exon (FBtr0078170/FBgn0002121, exon 3 of 9)"
"chr2L",17886,19967,36.9544,"FBgn0002121","Promoter"
"chr2L",20578,21376,29.3641,"FBgn0002121","Promoter"
"chr2L",47686,48194,3.67523,"FBgn0267987","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)"
"chr2L",48989,49540,4.13131,"FBgn0267987","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)"
"chr2L",50052,51631,4.54873,"FBgn0267987","Intron (FBtr0078163/FBgn0051973, intron 2 of 12)"
"chr2L",67463,68411,3.85921,"FBgn0067779","Promoter"
"chr2L",72630,73609,6.54583,"FBgn0031213","Promoter"
"chr2L",95037,96322,5.83428,"FBgn0031216","Promoter"
"chr2L",102448,102812,4.17108,"FBgn0031217","Promoter"
"chr2L",106163,106703,7.63892,"FBgn0026787","Promoter"
"chr2L",108071,109344,15.8097,"FBgn0005278","Promoter"
"chr2L",121368,121730,2.6123,"FBgn0031220","Promoter"
"chr2L",127614,129381,58.3757,"FBgn0025683","Promoter"
"chr2L",132084,133181,2.19047,"FBgn0001142","Promoter"
"chr2L",155456,157472,9.48012,"FBgn0031229","Promoter"
"chr2L",158979,159811,40.0816,"FBgn0016977","Promoter"
"chr2L",160389,161608,39.1315,"FBgn0016977","5' UTR"
"chr2L",165456,166695,9.57147,"FBgn0016977","Intron (FBtr0078122/FBgn0016977, intron 2 of 11)"
"chr2L",172560,173140,1.32289,"FBgn0016977","Intron (FBtr0078122/FBgn0016977, intron 2 of 11)"
"chr2L",183855,185646,8.03747,"FBgn0016977","Exon (FBtr0078122/FBgn0016977, exon 3 of 12)"
"chr2L",187538,189542,3.1739,"FBgn0016977","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)"
"chr2L",194836,195716,4.50828,"FBgn0031231","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)"
"chr2L",198363,198822,2.46985,"FBgn0031231","Exon (FBtr0078122/FBgn0016977, exon 6 of 12)"
"chr2L",200414,201256,6.07174,"FBgn0031231","Exon (FBtr0078122/FBgn0016977, exon 10 of 12)"
"chr2L",207754,208320,2.65626,"FBgn0031233","Promoter"
"chr2L",209430,209798,3.29703,"FBgn0031233","Exon (FBtr0332338/FBgn0031233, exon 3 of 3)"
"chr2L",212155,213787,10.0385,"FBgn0031233","3' UTR"
"chr2L",215094,215850,4.55317,"FBgn0265151","Exon (FBtr0078145/FBgn0266557, exon 5 of 7)"
"chr2L",216460,217190,4.71077,"FBgn0265151","Exon (FBtr0078145/FBgn0266557, exon 2 of 7)"
"chr2L",221212,221931,10.5005,"FBgn0266557","Promoter"
"chr2L",223192,225269,13.7878,"FBgn0265153","Promoter"
"chr2L",240045,242090,7.49221,"FBgn0262252","Exon (FBtr0078144/FBgn0266557, exon 3 of 18)"
"chr2L",245380,245819,2.8385,"FBgn0262252","Intron (FBtr0078144/FBgn0266557, intron 1 of 17)"
"chr2L",246696,250882,15.3728,"FBgn0265149","Promoter"
"chr2L",275992,276469,2.79627,"FBgn0086855","Promoter"
"chr2L",277676,278212,6.72323,"FBgn0086855","Promoter"
"chr2L",282733,283114,2.02338,"FBgn0031244","Promoter"
"chr2L",285412,285750,20.6996,"FBgn0031245","Promoter"
"chr2L",293446,294516,10.3574,"FBgn0017457","Promoter"
"chr2L",295175,297499,18.9051,"FBgn0024352","Promoter"
"chr2L",297881,298578,7.33284,"FBgn0020622","Promoter"
