"seqnames","start","end","V6","geneId"
"chr2L",17886,19967,36.9544,"FBgn0002121"
"chr2L",20578,21376,29.3641,"FBgn0002121"
"chr2L",67463,68411,3.85921,"FBgn0067779"
"chr2L",72630,73609,6.54583,"FBgn0031213"
"chr2L",95037,96322,5.83428,"FBgn0031216"
"chr2L",102448,102812,4.17108,"FBgn0031217"
"chr2L",106163,106703,7.63892,"FBgn0026787"
"chr2L",108071,109344,15.8097,"FBgn0005278"
"chr2L",121368,121730,2.6123,"FBgn0031220"
"chr2L",127614,129381,58.3757,"FBgn0025683"
"chr2L",132084,133181,2.19047,"FBgn0001142"
"chr2L",155456,157472,9.48012,"FBgn0031229"
"chr2L",158979,159811,40.0816,"FBgn0016977"
"chr2L",207754,208320,2.65626,"FBgn0031233"
"chr2L",221212,221931,10.5005,"FBgn0266557"
"chr2L",223192,225269,13.7878,"FBgn0265153"
"chr2L",246696,250882,15.3728,"FBgn0265149"
"chr2L",275992,276469,2.79627,"FBgn0086855"
"chr2L",277676,278212,6.72323,"FBgn0086855"
"chr2L",282733,283114,2.02338,"FBgn0031244"
"chr2L",285412,285750,20.6996,"FBgn0031245"
"chr2L",293446,294516,10.3574,"FBgn0017457"
"chr2L",295175,297499,18.9051,"FBgn0024352"
"chr2L",297881,298578,7.33284,"FBgn0020622"
"chr2L",305958,306798,3.83577,"FBgn0004611"
"chr2L",309441,309830,10.4372,"FBgn0263872"
"chr2L",413323,414771,10.3415,"FBgn0264855"
"chr2L",415209,416658,2.97437,"FBgn0263933"
"chr2L",419881,421453,87.7507,"FBgn0002593"
"chr2L",431180,436241,33.992,"FBgn0004583"
"chr2L",438496,443065,15.2919,"FBgn0263870"
"chr2L",453215,454139,7.00462,"FBgn0031256"
"chr2L",471781,472259,8.00954,"FBgn0031258"
"chr2L",473148,474362,11.6815,"FBgn0027592"
"chr2L",477164,481882,78.8821,"FBgn0043364"
"chr2L",490774,492170,41.5157,"FBgn0003963"
"chr2L",523496,524031,24.9507,"FBgn0003963"
"chr2L",540733,542540,48.5191,"FBgn0010602"
"chr2L",542935,544633,44.818,"FBgn0031260"
"chr2L",552224,552801,15.2689,"FBgn0005660"
"chr2L",559590,561328,36.3895,"FBgn0031263"
"chr2L",568480,569711,15.2359,"FBgn0031266"
"chr2L",573550,574190,4.28659,"FBgn0031267"
"chr2L",574660,575082,5.39076,"FBgn0031268"
"chr2L",576137,576598,5.1743,"FBgn0013323"
"chr2L",714256,715107,32.0848,"FBgn0284247"
"chr2L",811084,811795,2.68687,"FBgn0086130"
"chr2L",820174,820862,8.67395,"FBgn0015621"
"chr2L",821498,822203,8.30317,"FBgn0031285"
"chr2L",825020,827423,18.5699,"FBgn0010583"
"chr2L",841140,842151,6.56041,"FBgn0020304"
"chr2L",849971,851088,19.8389,"FBgn0020304"
"chr2L",851586,855817,73.4778,"FBgn0020545"
"chr2L",860761,864758,14.6605,"FBgn0031289"
"chr2L",865122,869359,83.419,"FBgn0029095"
"chr2L",870400,875558,212.917,"FBgn0053526"
"chr2L",900804,901743,30.1404,"FBgn0003916"
"chr2L",1076477,1078547,35.5835,"FBgn0003310"
"chr2L",1080993,1081809,8.40331,"FBgn0031298"
"chr2L",1102261,1102620,14.0716,"FBgn0031299"
"chr2L",1107958,1108367,9.46129,"FBgn0261938"
"chr2L",1113090,1119689,61.2403,"FBgn0016926"
"chr2L",1126163,1128725,12.8323,"FBgn0016926"
"chr2L",1129600,1131729,9.41764,"FBgn0031304"
"chr2L",1143165,1143802,18.3041,"FBgn0031307"
"chr2L",1149910,1153601,15.8336,"FBgn0031309"
"chr2L",1156245,1158231,14.1587,"FBgn0261458"
"chr2L",1158696,1161721,16.3609,"FBgn0264267"
"chr2L",1166023,1169746,6.36256,"FBgn0031315"
"chr2L",1170409,1171460,3.64942,"FBgn0024314"
"chr2L",1184076,1185350,7.60195,"FBgn0031321"
"chr2L",1185979,1186825,23.0952,"FBgn0031322"
"chr2L",1238606,1239417,1.78513,"FBgn0031327"
"chr2L",1239853,1242943,26.6142,"FBgn0031327"
"chr2L",1361365,1361990,8.46068,"FBgn0053126"
"chr2L",1419486,1420626,52.4666,"FBgn0002543"
"chr2L",1431404,1431944,2.28926,"FBgn0003926"
"chr2L",1554494,1558380,47.0472,"FBgn0261509"
"chr2L",1585042,1587049,9.12095,"FBgn0031347"
"chr2L",1587876,1588653,3.83525,"FBgn0031347"
"chr2L",1608449,1611164,39.5863,"FBgn0051935"
"chr2L",1612808,1614131,4.06982,"FBgn0021906"
"chr2L",1651158,1651678,31.9623,"FBgn0086758"
"chr2L",1667705,1668192,2.49906,"FBgn0086758"
"chr2L",1704978,1706623,12.9339,"FBgn0011570"
"chr2L",1710014,1711380,11.3958,"FBgn0031356"
"chr2L",1715096,1715550,4.36232,"FBgn0086698"
"chr2L",1723346,1724557,38.1628,"FBgn0031359"
"chr2L",1725055,1728348,53.6006,"FBgn0000579"
"chr2L",1728958,1729448,4.56819,"FBgn0000579"
"chr2L",1729914,1730881,25.1982,"FBgn0031360"
"chr2L",1737043,1738634,43.1459,"FBgn0264494"
"chr2L",1750915,1751926,9.27033,"FBgn0027597"
"chr2L",1884651,1885673,20.0422,"FBgn0031374"
"chr2L",1928081,1928566,2.60641,"FBgn0031374"
"chr2L",1936070,1937644,3.97342,"FBgn0011859"
"chr2L",1938060,1938572,6.35122,"FBgn0011859"
"chr2L",1944647,1945091,1.99689,"FBgn0040719"
"chr2L",1974156,1975266,13.4739,"FBgn0267972"
"chr2L",1980018,1980741,7.52291,"FBgn0031377"
"chr2L",1981366,1983421,10.0407,"FBgn0031379"
"chr2L",1984971,1987832,25.1982,"FBgn0001125"
"chr2L",1988248,1989506,9.52996,"FBgn0031381"
"chr2L",2008776,2011089,54.3182,"FBgn0031384"
